index,v0_bs,v0_rs,delta,sigma_bs,sigma_rs,sigma_delta,within_error
1.000000000000000000e+00,2.467401100274349446e+00,2.467401100272412329e+00,1.937117133365973132e-12,3.001077937798012811e-12,1.073551314941998884e-12,4.074629252740011896e-12,1.000000000000000000e+00
2.000000000000000000e+00,2.220660990245305655e+01,2.220660990245105637e+01,2.000177801164682023e-12,3.000406821204029315e-12,1.001073741825999943e-12,4.001480563030029257e-12,1.000000000000000000e+00
3.000000000000000000e+00,6.168502750681049918e+01,6.168502750680848834e+01,2.010835942201083526e-12,3.000406821204086668e-12,1.004831838209999979e-12,4.005238659414086445e-12,1.000000000000000000e+00
4.000000000000000000e+00,1.209026539133466542e+02,1.209026539133446363e+02,2.017941369558684528e-12,3.000598568802587502e-12,1.009126805506000049e-12,4.009725374308587551e-12,1.000000000000000000e+00
5.000000000000000000e+00,1.998594891220615182e+02,1.998594891220595002e+02,2.017941369558684528e-12,3.000550631902972997e-12,1.015569256450000052e-12,4.016119888352972645e-12,1.000000000000000000e+00
6.000000000000000000e+00,2.985555331329551336e+02,2.985555331329530873e+02,2.046363078989088535e-12,3.000598568802598003e-12,1.038654705661999906e-12,4.039253274464597708e-12,1.000000000000000000e+00
7.000000000000000000e+00,4.169907859460276427e+02,4.169907859460253121e+02,2.330580173293128610e-12,3.000718411051653654e-12,1.104152956930000004e-12,4.104871367981653658e-12,1.000000000000000000e+00
8.000000000000000000e+00,5.551652475612784201e+02,5.551652475612763737e+02,2.046363078989088535e-12,3.000766347951276237e-12,1.126701535234000018e-12,4.127467883185276053e-12,1.000000000000000000e+00
9.000000000000000000e+00,7.130789179787080911e+02,7.130789179787061585e+02,1.932676241267472506e-12,3.000646505702222202e-12,1.039728447485999974e-12,4.040374953188221974e-12,1.000000000000000000e+00
1.000000000000000000e+01,8.907317971983164853e+02,8.907317971983146663e+02,1.818989403545856476e-12,3.000346900079589539e-12,1.037044092926000006e-12,4.037390993005589545e-12,1.000000000000000000e+00
1.100000000000000000e+01,1.088123885220103602e+03,1.088123885220101783e+03,1.818989403545856476e-12,3.000514679228266157e-12,1.032749125629999936e-12,4.033263804858265891e-12,1.000000000000000000e+00
1.200000000000000000e+01,1.305255182044069670e+03,1.305255182044067851e+03,1.818989403545856476e-12,3.000574600352793174e-12,1.284004712445999884e-12,4.284579312798793462e-12,1.000000000000000000e+00
1.300000000000000000e+01,1.542125687670214575e+03,1.542125687670212301e+03,2.273736754432320595e-12,3.000466742328644381e-12,1.019864223741999929e-12,4.020330966070644108e-12,1.000000000000000000e+00
1.400000000000000000e+01,1.798735402098537634e+03,1.798735402098535815e+03,1.818989403545856476e-12,3.000658489927129867e-12,1.312458870781999868e-12,4.313117360709129937e-12,1.000000000000000000e+00
1.500000000000000000e+01,2.075084325329039530e+03,2.075084325329037711e+03,1.818989403545856476e-12,3.000802300625994386e-12,1.000536870909999917e-12,4.001339171535994505e-12,1.000000000000000000e+00
1.600000000000000000e+01,2.371172457361720262e+03,2.371172457361718443e+03,1.818989403545856476e-12,3.000586584577699224e-12,1.334470578173999847e-12,4.335057162751699475e-12,1.000000000000000000e+00
1.700000000000000000e+01,2.686999798196579832e+03,2.686999798196578922e+03,9.094947017729282379e-13,3.000334915854685913e-12,1.711890829310000106e-12,4.712225745164686221e-12,1.000000000000000000e+00
1.800000000000000000e+01,3.022566347833618238e+03,3.022566347833615964e+03,2.273736754432320595e-12,3.000346900079591154e-12,1.430033600514000031e-12,4.430380500593591185e-12,1.000000000000000000e+00
1.900000000000000000e+01,3.377872106272835481e+03,3.377872106272833207e+03,2.273736754432320595e-12,3.000694442601847209e-12,1.056371445762000009e-12,4.057065888363847016e-12,1.000000000000000000e+00
2.000000000000000000e+01,3.752917073514230196e+03,3.752917073514228832e+03,1.364242052659392357e-12,3.000640513589773620e-12,1.361314123773999930e-12,4.361954637363773147e-12,1.000000000000000000e+00
2.100000000000000000e+01,4.147701249557805568e+03,4.147701249557803749e+03,1.818989403545856476e-12,3.000544639790530069e-12,1.821412495357999970e-12,4.821957135148530039e-12,1.000000000000000000e+00
2.200000000000000000e+01,4.562224634403558412e+03,4.562224634403555683e+03,2.728484105318784714e-12,3.000478726553550431e-12,1.595389841409999793e-12,4.595868567963550426e-12,1.000000000000000000e+00
2.300000000000000000e+01,4.996487228051489183e+03,4.996487228051487364e+03,1.818989403545856476e-12,3.000496702890908294e-12,1.137975824385999924e-12,4.138472527276908419e-12,1.000000000000000000e+00
2.400000000000000000e+01,5.450489030501600610e+03,5.450489030501597881e+03,2.728484105318784714e-12,3.000412813316571601e-12,1.362924736510000032e-12,4.363337549826571633e-12,1.000000000000000000e+00
