l,a_quad,b_quad,c_quad,v0_first
0,9.869604401089369,-9.86960440108974,2.4674011003423755,2.467401100274349
1,9.86960440108937,-1.1433173726502686e-12,1.1795939054976476e-10,9.869604401089356
2,9.869604292406088,9.86963089030219,0.4660367768767878,20.190728556426624
3,9.86960236469946,19.739706575600174,3.843804665710109,33.21746191426837
4,9.86959697953336,29.610622821372075,10.11277279069584,48.8311936436192
5,9.86958681182864,39.48271622813856,19.254402138814537,66.9543119251048
6,9.869570049715492,49.35639369423989,31.248812850877705,87.53122025713414
7,9.869546137791506,59.231854699255294,46.08172329839521,110.51970831767493
8,9.869512402362336,69.10963031851018,63.73087702190152,135.88639953736302
9,9.869469803631228,78.98966829338066,84.1889367898953,163.60409680332043
10,9.869413843027871,88.87277732133111,107.42735397185086,193.65011892703933
