l,a_quad_tex,b_quad_tex,c_quad,v0_first
0,$1\pi^2$,$-1\pi^2$,2.4674011003423755,2.467401100274349
1,$1\pi^2$,$0\pi^2$,1.1795939054976476e-10,9.869604401089356
2,$1\pi^2$,$1\pi^2$,0.4660367768767878,20.190728556426624
3,$1\pi^2$,$2\pi^2$,3.843804665710109,33.21746191426837
4,$1\pi^2$,$3\pi^2$,10.11277279069584,48.8311936436192
5,$1\pi^2$,$4\pi^2$,19.254402138814537,66.9543119251048
6,$1\pi^2$,$5\pi^2$,31.248812850877705,87.53122025713414
7,$1\pi^2$,$6\pi^2$,46.08172329839521,110.51970831767493
8,$1\pi^2$,$7\pi^2$,63.73087702190152,135.88639953736302
9,$1\pi^2$,$8\pi^2$,84.1889367898953,163.60409680332043
10,$1\pi^2$,$9\pi^2$,107.42735397185086,193.65011892703933
