l,a_quad,b_quad,c_quad,v0_first
0,9.869604401089369,-9.86960440108974,2.4674011003423755,2.4674011002724123
1,9.869604401089372,-1.2353485457061393e-12,1.0973788796167752e-10,9.869604401089394
2,9.869604292406091,9.869630890301822,0.4660367768834761,20.19072855642667
3,9.86960236469946,19.739706575600174,3.843804665710109,33.21746191426837
4,9.86959697953336,29.61062282137223,10.112772790674692,48.8311936436192
5,9.869586811828643,39.48271622813819,19.254402138857348,66.95431192510479
6,9.869570049715492,49.35639369423981,31.248812850888047,87.53122025713414
7,9.869546137791506,59.231854699255294,46.08172329839521,110.51970831767493
8,9.869512402362336,69.10963031851018,63.73087702190152,135.886399537363
9,9.869469803631224,78.98966829338104,84.18893678988596,163.60409680332043
10,9.869413843027871,88.87277732133111,107.42735397185086,193.6501189270393
