x,y,v0_first
1.570796326795533382e+00,9.999999999999999799e-13,2.467401100274340120e+00
4.712388980384901949e+00,9.999999999999999799e-13,2.220660990245305300e+01
7.853981633974610688e+00,9.999999999999999799e-13,6.168502750681049918e+01
1.099557428756436472e+01,9.999999999999999799e-13,1.209026539133465690e+02
1.413716694115413297e+01,9.999999999999999799e-13,1.998594891220612908e+02
1.727875959474391721e+01,9.999999999999999799e-13,2.985555331329550199e+02
2.042035224833370677e+01,9.999999999999999799e-13,4.169907859460274722e+02
2.356194490192349278e+01,9.999999999999999799e-13,5.551652475612784201e+02
2.670353755551327879e+01,9.999999999999999799e-13,7.130789179787080911e+02
2.984513020910306835e+01,9.999999999999999799e-13,8.907317971983165990e+02
3.298672286269285792e+01,9.999999999999999799e-13,1.088123885220103602e+03
3.612831551628264748e+01,9.999999999999999799e-13,1.305255182044069670e+03
3.926990816987244415e+01,9.999999999999999799e-13,1.542125687670214347e+03
4.241150082346223371e+01,9.999999999999999799e-13,1.798735402098537861e+03
4.555309347705203038e+01,9.999999999999999799e-13,2.075084325329040439e+03
4.869468613064181994e+01,9.999999999999999799e-13,2.371172457361720717e+03
5.183627878423160951e+01,9.999999999999999799e-13,2.686999798196579832e+03
5.497787143782139907e+01,9.999999999999999799e-13,3.022566347833618238e+03
5.811946409141118863e+01,9.999999999999999799e-13,3.377872106272834571e+03
6.126105674500098530e+01,9.999999999999999799e-13,3.752917073514230651e+03
6.440264939859076776e+01,9.999999999999999799e-13,4.147701249557804658e+03
6.754424205218056443e+01,9.999999999999999799e-13,4.562224634403557502e+03
7.068583470577036110e+01,9.999999999999999799e-13,4.996487228051489183e+03
7.382742735936014356e+01,9.999999999999999799e-13,5.450489030501599700e+03
7.696902001294995443e+01,9.999999999999999799e-13,5.924230041753889964e+03
8.011061266653973689e+01,9.999999999999999799e-13,6.417710261808357245e+03
8.325220532012953356e+01,9.999999999999999799e-13,6.930929690665005182e+03
8.639379797371933023e+01,9.999999999999999799e-13,7.463888328323830137e+03
8.953539062730911269e+01,9.999999999999999799e-13,8.016586174784833020e+03
9.267698328089890936e+01,9.999999999999999799e-13,8.589023230048016558e+03
9.581857593448870603e+01,9.999999999999999799e-13,9.181199494113378023e+03
9.896016858807848848e+01,9.999999999999999799e-13,9.793114966980916506e+03
1.021017612416682852e+02,9.999999999999999799e-13,1.042476964865063565e+04
1.052433538952580818e+02,9.999999999999999799e-13,1.107616353912253544e+04
1.083849465488478785e+02,9.999999999999999799e-13,1.174729663839661225e+04
1.115265392024376752e+02,9.999999999999999799e-13,1.243816894647286790e+04
1.146681318560274576e+02,9.999999999999999799e-13,1.314878046335129875e+04
1.178097245096172543e+02,9.999999999999999799e-13,1.387913118903191207e+04
1.209513171632070510e+02,9.999999999999999799e-13,1.462922112351470423e+04
1.240929098167968476e+02,9.999999999999999799e-13,1.539905026679967523e+04
1.272345024703866301e+02,9.999999999999999799e-13,1.618861861888682142e+04
1.303760951239764267e+02,9.999999999999999799e-13,1.699792617977615009e+04
1.335176877775662092e+02,9.999999999999999799e-13,1.782697294946765396e+04
1.366592804311560201e+02,9.999999999999999799e-13,1.867575892796134576e+04
1.398008730847458025e+02,9.999999999999999799e-13,1.954428411525720003e+04
1.429424657383355850e+02,9.999999999999999799e-13,2.043254851135524586e+04
1.460840583919253959e+02,9.999999999999999799e-13,2.134055211625546508e+04
1.492256510455151783e+02,9.999999999999999799e-13,2.226829492995786495e+04
1.523672436991049892e+02,9.999999999999999799e-13,2.321577695246244912e+04
1.555088363526947717e+02,9.999999999999999799e-13,2.418299818376920302e+04
1.586504290062845826e+02,9.999999999999999799e-13,2.516995862387814122e+04
1.617920216598743650e+02,9.999999999999999799e-13,2.617665827278925281e+04
1.649336143134641475e+02,9.999999999999999799e-13,2.720309713050254868e+04
1.680752069670539584e+02,9.999999999999999799e-13,2.824927519701802157e+04
1.712167996206437124e+02,9.999999999999999799e-13,2.931519247233566421e+04
1.743583922742335233e+02,9.999999999999999799e-13,3.040084895645549841e+04
1.774999849278233057e+02,9.999999999999999799e-13,3.150624464937750236e+04
1.806415775814131166e+02,9.999999999999999799e-13,3.263137955110169059e+04
1.837831702350028991e+02,9.999999999999999799e-13,3.377625366162805585e+04
1.869247628885927099e+02,9.999999999999999799e-13,3.494086698095660540e+04
1.900663555421824924e+02,9.999999999999999799e-13,3.612521950908732833e+04
1.932079481957723033e+02,9.999999999999999799e-13,3.732931124602023192e+04
1.963495408493620857e+02,9.999999999999999799e-13,3.855314219175530889e+04
1.994911335029518682e+02,9.999999999999999799e-13,3.979671234629256651e+04
2.026327261565416791e+02,9.999999999999999799e-13,4.106002170963200479e+04
2.057743188101314615e+02,9.999999999999999799e-13,4.234307028177362372e+04
2.089159114637212724e+02,9.999999999999999799e-13,4.364585806271742331e+04
2.120575041173110549e+02,9.999999999999999799e-13,4.496838505246338900e+04
2.151990967709008657e+02,9.999999999999999799e-13,4.631065125101155718e+04
2.183406894244906482e+02,9.999999999999999799e-13,4.767265665836188418e+04
2.214822820780804307e+02,9.999999999999999799e-13,4.905440127451439184e+04
2.246238747316702131e+02,9.999999999999999799e-13,5.045588509946907288e+04
2.277654673852600240e+02,9.999999999999999799e-13,5.187710813322594186e+04
2.309070600388498065e+02,9.999999999999999799e-13,5.331807037578498421e+04
2.340486526924395889e+02,9.999999999999999799e-13,5.477877182714621449e+04
2.371902453460293998e+02,9.999999999999999799e-13,5.625921248730961815e+04
2.403318379996191823e+02,9.999999999999999799e-13,5.775939235627520247e+04
2.434734306532089647e+02,9.999999999999999799e-13,5.927931143404296017e+04
2.466150233067987756e+02,9.999999999999999799e-13,6.081896972061290580e+04
2.497566159603885581e+02,9.999999999999999799e-13,6.237836721598501754e+04
2.528982086139783689e+02,9.999999999999999799e-13,6.395750392015932448e+04
2.560398012675681798e+02,9.999999999999999799e-13,6.555637983313581208e+04
2.591813939211579623e+02,9.999999999999999799e-13,6.717499495491445123e+04
2.623229865747477447e+02,9.999999999999999799e-13,6.881334928549527831e+04
2.654645792283375272e+02,9.999999999999999799e-13,7.047144282487827877e+04
2.686061718819273096e+02,9.999999999999999799e-13,7.214927557306346716e+04
2.717477645355170921e+02,9.999999999999999799e-13,7.384684753005084349e+04
2.748893571891069314e+02,9.999999999999999799e-13,7.556415869584042230e+04
2.780309498426967139e+02,9.999999999999999799e-13,7.730120907043213083e+04
2.811725424962864963e+02,9.999999999999999799e-13,7.905799865382604185e+04
2.843141351498762788e+02,9.999999999999999799e-13,8.083452744602211169e+04
2.874557278034660612e+02,9.999999999999999799e-13,8.263079544702036947e+04
2.905973204570559005e+02,9.999999999999999799e-13,8.444680265682084428e+04
2.937389131106456830e+02,9.999999999999999799e-13,8.628254907542346336e+04
2.968805057642354654e+02,9.999999999999999799e-13,8.813803470282825583e+04
3.000220984178252479e+02,9.999999999999999799e-13,9.001325953903520713e+04
3.031636910714150304e+02,9.999999999999999799e-13,9.190822358404436090e+04
3.063052837250048697e+02,9.999999999999999799e-13,9.382292683785574627e+04
3.094468763785945953e+02,9.999999999999999799e-13,9.575736930046921771e+04
3.125884690321844346e+02,9.999999999999999799e-13,9.771155097188493528e+04
3.157300616857742170e+02,9.999999999999999799e-13,9.968547185210278258e+04
3.188716543393639995e+02,9.999999999999999799e-13,1.016791319411228469e+05
3.220132469929537820e+02,9.999999999999999799e-13,1.036925312389450410e+05
3.251548396465436213e+02,9.999999999999999799e-13,1.057256697455694957e+05
3.282964323001334037e+02,9.999999999999999799e-13,1.077785474609960656e+05
3.314380249537232430e+02,9.999999999999999799e-13,1.098511643852248526e+05
3.345796176073129686e+02,9.999999999999999799e-13,1.119435205182557693e+05
3.377212102609028079e+02,9.999999999999999799e-13,1.140556158600889175e+05
3.408628029144925335e+02,9.999999999999999799e-13,1.161874504107241955e+05
3.440043955680823728e+02,9.999999999999999799e-13,1.183390241701617051e+05
3.471459882216721553e+02,9.999999999999999799e-13,1.205103371384013444e+05
3.502875808752619378e+02,9.999999999999999799e-13,1.227013893154431717e+05
3.534291735288517202e+02,9.999999999999999799e-13,1.249121807012871868e+05
3.565707661824415595e+02,9.999999999999999799e-13,1.271427112959333899e+05
3.597123588360313420e+02,9.999999999999999799e-13,1.293929810993817664e+05
3.628539514896211244e+02,9.999999999999999799e-13,1.316629901116323308e+05
3.659955441432109069e+02,9.999999999999999799e-13,1.339527383326850540e+05
3.691371367968006894e+02,9.999999999999999799e-13,1.362622257625399507e+05
3.722787294503905287e+02,9.999999999999999799e-13,1.385914524011970789e+05
3.754203221039803111e+02,9.999999999999999799e-13,1.409404182486563222e+05
3.785619147575700936e+02,9.999999999999999799e-13,1.433091233049177681e+05
3.817035074111598760e+02,9.999999999999999799e-13,1.456975675699813874e+05
3.848451000647496585e+02,9.999999999999999799e-13,1.481057510438471800e+05
3.879866927183394978e+02,9.999999999999999799e-13,1.505336737265151751e+05
3.911282853719292234e+02,9.999999999999999799e-13,1.529813356179853145e+05
3.942698780255190627e+02,9.999999999999999799e-13,1.554487367182576854e+05
3.974114706791088452e+02,9.999999999999999799e-13,1.579358770273322007e+05
4.005530633326986276e+02,9.999999999999999799e-13,1.604427565452088602e+05
4.036946559862884669e+02,9.999999999999999799e-13,1.629693752718877804e+05
4.068362486398782494e+02,9.999999999999999799e-13,1.655157332073688158e+05
4.099778412934680318e+02,9.999999999999999799e-13,1.680818303516520828e+05
4.131194339470577575e+02,9.999999999999999799e-13,1.706676667047374067e+05
4.162610266006476536e+02,9.999999999999999799e-13,1.732732422666251077e+05
4.194026192542374361e+02,9.999999999999999799e-13,1.758985570373148657e+05
4.225442119078271617e+02,9.999999999999999799e-13,1.785436110168067680e+05
4.256858045614170010e+02,9.999999999999999799e-13,1.812084042051009310e+05
4.288273972150067834e+02,9.999999999999999799e-13,1.838929366021972091e+05
4.319689898685965659e+02,9.999999999999999799e-13,1.865972082080956607e+05
4.351105825221863483e+02,9.999999999999999799e-13,1.893212190227963438e+05
4.382521751757761876e+02,9.999999999999999799e-13,1.920649690462992003e+05
4.413937678293659701e+02,9.999999999999999799e-13,1.948284582786042301e+05
4.445353604829557526e+02,9.999999999999999799e-13,1.976116867197114043e+05
4.476769531365455350e+02,9.999999999999999799e-13,2.004146543696207809e+05
4.508185457901353175e+02,9.999999999999999799e-13,2.032373612283323309e+05
4.539601384437250999e+02,9.999999999999999799e-13,2.060798072958460834e+05
