x,y,v0_first
1.391574263408400647e+01,1.159694252789577007e+01,5.915881706274574725e+01
1.783858081160487785e+01,1.159694252789577007e+01,1.837258893768402572e+02
2.142843503671727845e+01,1.159694252789577007e+01,3.246887521274950927e+02
2.487316918139210031e+01,1.159694252789577007e+01,4.841854691308361680e+02
2.823709494788031549e+01,1.159694252789577007e+01,6.628444551002905882e+02
3.155015310847611687e+01,1.159694252789577007e+01,8.609230851729677170e+02
3.482866458476545546e+01,1.159694252789577007e+01,1.078546800762778048e+03
3.808244986452619685e+01,1.159694252789577007e+01,1.315783911688833768e+03
4.131783775576182194e+01,1.159694252789577007e+01,1.572674640816139572e+03
4.453911964697993398e+01,1.159694252789577007e+01,1.849244102932676469e+03
4.774932242787598113e+01,1.159694252789577007e+01,2.145508716325942260e+03
5.095064961138720605e+01,1.159694252789577007e+01,2.461479619827033730e+03
5.414474750261642555e+01,1.159694252789577007e+01,2.797164606126770650e+03
5.733287317072263534e+01,1.159694252789577007e+01,3.152569270014849735e+03
6.051600444833066916e+01,1.159694252789577007e+01,3.527697718395059837e+03
6.369491424397109114e+01,1.159694252789577007e+01,3.922553024551514227e+03
6.687022209785050109e+01,1.159694252789577007e+01,4.337137527420536571e+03
7.004243078183432658e+01,1.159694252789577007e+01,4.771453033832735855e+03
7.321195281009914879e+01,1.159694252789577007e+01,5.225500958272867138e+03
7.637912998580456758e+01,1.159694252789577007e+01,5.699282421393112600e+03
7.954424804275329564e+01,1.159694252789577007e+01,6.192798320691743356e+03
8.270754776941448938e+01,1.159694252789577007e+01,6.706049382034660994e+03
8.586923356914145700e+01,1.159694252789577007e+01,7.239036197756451656e+03
8.902948012429948221e+01,1.159694252789577007e+01,7.791759255207717615e+03
9.218843763941751490e+01,1.159694252789577007e+01,8.364218958401454074e+03
9.534623600647795172e+01,1.159694252789577007e+01,8.956415644607674039e+03
9.850298814350610144e+01,1.159694252789577007e+01,9.568349597204385645e+03
1.016587926926056866e+02,1.159694252789577007e+01,1.020002105572286200e+04
1.048137362169832443e+02,1.159694252789577007e+01,1.085143022376802583e+04
1.079678950026777926e+02,1.159694252789577007e+01,1.152257727531393721e+04
1.111213365458714293e+02,1.159694252789577007e+01,1.221346235974550291e+04
1.142741207882161376e+02,1.159694252789577007e+01,1.292408560592449248e+04
1.174263011487875730e+02,1.159694252789577007e+01,1.365444712549043106e+04
1.205779253908117994e+02,1.159694252789577007e+01,1.440454701555686006e+04
1.237290363533232238e+02,1.159694252789577007e+01,1.517438536092666072e+04
1.268796725717619296e+02,1.159694252789577007e+01,1.596396223592219758e+04
1.300298688067491923e+02,1.159694252789577007e+01,1.677327770590508953e+04
1.331796564965528376e+02,1.159694252789577007e+01,1.760233182854449115e+04
1.363290641458223433e+02,1.159694252789577007e+01,1.845112465488043017e+04
1.394781176608520639e+02,1.159694252789577007e+01,1.931965623021917418e+04
1.426268406397820456e+02,1.159694252789577007e+01,2.020792659489046491e+04
1.457752546246641998e+02,1.159694252789577007e+01,2.111593578489036736e+04
1.489233793211276691e+02,1.159694252789577007e+01,2.204368383242915661e+04
1.520712327904105621e+02,1.159694252789577007e+01,2.299117076639992592e+04
1.552188316177394256e+02,1.159694252789577007e+01,2.395839661278083076e+04
1.583661910603926515e+02,1.159694252789577007e+01,2.494536139498147531e+04
1.615133251782571335e+02,1.159694252789577007e+01,2.595206513414211804e+04
1.646602469492509044e+02,1.159694252789577007e+01,2.697850784939297228e+04
1.678069683716229008e+02,1.159694252789577007e+01,2.802468955807953171e+04
1.709535005548417246e+02,1.159694252789577007e+01,2.909061027595895575e+04
1.740998538005329408e+02,1.159694252789577007e+01,3.017627001737163300e+04
1.772460376747158364e+02,1.159694252789577007e+01,3.128166879539147340e+04
1.803920610724134690e+02,1.159694252789577007e+01,3.240680662195803961e+04
1.835379322755596831e+02,1.159694252789577007e+01,3.355168350799260952e+04
1.866836590050029088e+02,1.159694252789577007e+01,3.471629946350088721e+04
1.898292484672972762e+02,1.159694252789577007e+01,3.590065449766357051e+04
