x,y,v0_first,sigma_v0
1.391582261050489677e+01,4.999999999999999899e-13,1.936501189270393297e+02,nan
1.783864319920532537e+01,4.999999999999999899e-13,3.182171911885543523e+02,nan
2.142848697211535836e+01,4.999999999999999899e-13,4.591800539141176500e+02,nan
2.487321392387514507e+01,4.999999999999999899e-13,6.186767709028563331e+02,nan
2.823713435996809906e+01,4.999999999999999899e-13,7.973357568628910030e+02,nan
3.155018838183184826e+01,4.999999999999999899e-13,9.954143869290774091e+02,nan
3.482869653768570828e+01,4.999999999999999899e-13,1.213038102514200546e+03,nan
3.808247908732765552e+01,4.999999999999999899e-13,1.450275213436748345e+03,nan
4.131786469024454078e+01,4.999999999999999899e-13,1.707165942561356587e+03,nan
4.453914463340948515e+01,4.999999999999999899e-13,1.983735404675769132e+03,nan
4.774934573444259911e+01,4.999999999999999899e-13,2.280000018067331439e+03,nan
5.095067145354450133e+01,4.999999999999999899e-13,2.595970921567034566e+03,nan
5.414476805625475464e+01,4.999999999999999899e-13,2.931655907865625068e+03,nan
5.733289258142086453e+01,4.999999999999999899e-13,3.287060571752743272e+03,nan
6.051602283802319704e+01,4.999999999999999899e-13,3.662189020132144833e+03,nan
6.369493171585872915e+01,4.999999999999999899e-13,4.057044326287906642e+03,nan
6.687023874008777113e+01,4.999999999999999899e-13,4.471628829156335996e+03,nan
7.004244667034424765e+01,4.999999999999999899e-13,4.905944335568017777e+03,nan
7.321196801075423366e+01,4.999999999999999899e-13,5.359992260007701589e+03,nan
7.637914455613884002e+01,4.999999999999999899e-13,5.833773723127552330e+03,nan
7.954426203332226919e+01,4.999999999999999899e-13,6.327289622425835660e+03,nan
8.270756122488708684e+01,4.999999999999999899e-13,6.840540683768445888e+03,nan
8.586924652918506240e+01,4.999999999999999899e-13,7.373527499489961883e+03,nan
8.902949262430388444e+01,4.999999999999999899e-13,7.926250556940980459e+03,nan
9.218844971109177777e+01,4.999999999999999899e-13,8.498710260134497730e+03,nan
9.534624767834608861e+01,4.999999999999999899e-13,9.090906946340515788e+03,nan
9.850299944132183327e+01,4.999999999999999899e-13,9.702840898937049133e+03,nan
1.016588036397013752e+02,4.999999999999999899e-13,1.033451235745536178e+04,nan
1.048137468345654213e+02,4.999999999999999899e-13,1.098592152550037281e+04,nan
1.079679053100788337e+02,4.999999999999999899e-13,1.165706857704614958e+04,nan
1.111213465607647635e+02,4.999999999999999899e-13,1.234795366147758796e+04,nan
1.142741305268015140e+02,4.999999999999999899e-13,1.305857690765646839e+04,nan
1.174263106259508618e+02,4.999999999999999899e-13,1.378893842722230147e+04,nan
1.205779346202638891e+02,4.999999999999999899e-13,1.453903831728863224e+04,nan
1.237290453477207848e+02,4.999999999999999899e-13,1.530887666265834559e+04,nan
1.268796813428131003e+02,4.999999999999999899e-13,1.609845353765379514e+04,nan
1.300298773653063336e+02,4.999999999999999899e-13,1.690776900763660160e+04,nan
1.331796648526941738e+02,4.999999999999999899e-13,1.773682313027594137e+04,nan
1.363290723089239407e+02,4.999999999999999899e-13,1.858561595661181491e+04,nan
1.394781256396518074e+02,4.999999999999999899e-13,1.945414753195049343e+04,nan
1.426268484424364260e+02,4.999999999999999899e-13,2.034241789662172596e+04,nan
1.457752622587988185e+02,4.999999999999999899e-13,2.125042708662157384e+04,nan
1.489233867938824005e+02,4.999999999999999899e-13,2.217817513416030488e+04,nan
1.520712401084801684e+02,4.999999999999999899e-13,2.312566206813103054e+04,nan
1.552188387874097089e+02,4.999999999999999899e-13,2.409288791451188081e+04,nan
1.583661980875732525e+02,4.999999999999999899e-13,2.507985269671248898e+04,nan
1.615133320685109766e+02,4.999999999999999899e-13,2.608655643587309169e+04,nan
1.646602537078208002e+02,4.999999999999999899e-13,2.711299915112390954e+04,nan
1.678069750034557899e+02,4.999999999999999899e-13,2.815918085981043623e+04,nan
1.709535070646105055e+02,4.999999999999999899e-13,2.922510157768983845e+04,nan
1.740998601926562799e+02,4.999999999999999899e-13,3.031076131910246113e+04,nan
1.772460439533765282e+02,4.999999999999999899e-13,3.141616009712228697e+04,nan
1.803920672415747219e+02,4.999999999999999899e-13,3.254129792368881317e+04,nan
1.835379383389804104e+02,4.999999999999999899e-13,3.368617480972337216e+04,nan
1.866836649662514560e+02,4.999999999999999899e-13,3.485079076523162075e+04,nan
1.898292543297641259e+02,4.999999999999999899e-13,3.603514579939426767e+04,nan
1.929747131637910513e+02,4.999999999999999899e-13,3.723923992064742924e+04,nan
1.961200477685898989e+02,4.999999999999999899e-13,3.846307313675398473e+04,nan
1.992652640448583554e+02,4.999999999999999899e-13,3.970664545486712450e+04,nan
2.024103675249539833e+02,4.999999999999999899e-13,4.096995688158694975e+04,nan
2.055553634012282487e+02,4.999999999999999899e-13,4.225300742301101127e+04,nan
2.087002565517820756e+02,4.999999999999999899e-13,4.355579708477966051e+04,nan
2.118450515639120511e+02,4.999999999999999899e-13,4.487832587211655482e+04,nan
2.149897527554861654e+02,4.999999999999999899e-13,4.622059378986506636e+04,nan
2.181343641944595504e+02,4.999999999999999899e-13,4.758260084252111119e+04,nan
2.212788897167160940e+02,4.999999999999999899e-13,4.896434703426260239e+04,nan
2.244233329424017427e+02,4.999999999999999899e-13,5.036583236897610186e+04,nan
2.275676972908960636e+02,4.999999999999999899e-13,5.178705685028090375e+04,nan
2.307119859945529470e+02,4.999999999999999899e-13,5.322802048155079683e+04,nan
2.338562021113268372e+02,4.999999999999999899e-13,5.468872326593374601e+04,nan
2.370003485363889695e+02,4.999999999999999899e-13,5.616916520636984933e+04,nan
2.401444280128265234e+02,4.999999999999999899e-13,5.766934630560761434e+04,nan
2.432884431415079121e+02,4.999999999999999899e-13,5.918926656621872826e+04,nan
2.464323963901895524e+02,4.999999999999999899e-13,6.072892599061151122e+04,nan
2.495762901019311641e+02,4.999999999999999899e-13,6.228832458104329999e+04,nan
2.527201265028798787e+02,4.999999999999999899e-13,6.386746233963160921e+04,nan
2.558639077094783261e+02,4.999999999999999899e-13,6.546633926836444152e+04,nan
2.590076357351451293e+02,4.999999999999999899e-13,6.708495536910963710e+04,nan
2.621513124964731674e+02,4.999999999999999899e-13,6.872331064362352481e+04,nan
2.652949398189849717e+02,4.999999999999999899e-13,7.038140509355886024e+04,nan
2.684385194424822316e+02,4.999999999999999899e-13,7.205923872047189798e+04,nan
2.715820530260226633e+02,4.999999999999999899e-13,7.375681152582939831e+04,nan
