x,y,v0_first
1.391582261050489677e+01,9.999999999999999799e-13,1.936501189270393013e+02
1.783864319920532182e+01,9.999999999999999799e-13,3.182171911885542954e+02
2.142848697211535480e+01,9.999999999999999799e-13,4.591800539141175364e+02
2.487321392387514507e+01,9.999999999999999799e-13,6.186767709028564468e+02
2.823713435996809906e+01,9.999999999999999799e-13,7.973357568628911167e+02
3.155018838183184826e+01,9.999999999999999799e-13,9.954143869290772955e+02
3.482869653768570828e+01,9.999999999999999799e-13,1.213038102514200546e+03
3.808247908732766263e+01,9.999999999999999799e-13,1.450275213436748572e+03
4.131786469024454078e+01,9.999999999999999799e-13,1.707165942561356587e+03
4.453914463340948515e+01,9.999999999999999799e-13,1.983735404675768905e+03
4.774934573444259911e+01,9.999999999999999799e-13,2.280000018067331439e+03
5.095067145354450133e+01,9.999999999999999799e-13,2.595970921567034566e+03
5.414476805625474753e+01,9.999999999999999799e-13,2.931655907865624613e+03
5.733289258142087164e+01,9.999999999999999799e-13,3.287060571752744181e+03
6.051602283802319704e+01,9.999999999999999799e-13,3.662189020132145288e+03
6.369493171585873625e+01,9.999999999999999799e-13,4.057044326287907552e+03
6.687023874008777113e+01,9.999999999999999799e-13,4.471628829156335996e+03
7.004244667034424765e+01,9.999999999999999799e-13,4.905944335568018687e+03
7.321196801075423366e+01,9.999999999999999799e-13,5.359992260007701589e+03
7.637914455613884002e+01,9.999999999999999799e-13,5.833773723127553239e+03
7.954426203332226919e+01,9.999999999999999799e-13,6.327289622425835660e+03
8.270756122488710105e+01,9.999999999999999799e-13,6.840540683768447707e+03
8.586924652918507661e+01,9.999999999999999799e-13,7.373527499489962793e+03
8.902949262430389865e+01,9.999999999999999799e-13,7.926250556940981369e+03
9.218844971109176356e+01,9.999999999999999799e-13,8.498710260134495911e+03
9.534624767834608861e+01,9.999999999999999799e-13,9.090906946340515788e+03
9.850299944132183327e+01,9.999999999999999799e-13,9.702840898937049133e+03
1.016588036397013894e+02,9.999999999999999799e-13,1.033451235745536542e+04
1.048137468345654355e+02,9.999999999999999799e-13,1.098592152550037463e+04
1.079679053100788337e+02,9.999999999999999799e-13,1.165706857704614958e+04
1.111213465607647635e+02,9.999999999999999799e-13,1.234795366147758796e+04
1.142741305268015140e+02,9.999999999999999799e-13,1.305857690765647021e+04
1.174263106259508760e+02,9.999999999999999799e-13,1.378893842722230511e+04
1.205779346202638891e+02,9.999999999999999799e-13,1.453903831728863224e+04
1.237290453477207848e+02,9.999999999999999799e-13,1.530887666265834559e+04
1.268796813428131145e+02,9.999999999999999799e-13,1.609845353765379878e+04
1.300298773653063336e+02,9.999999999999999799e-13,1.690776900763660160e+04
1.331796648526941738e+02,9.999999999999999799e-13,1.773682313027594137e+04
1.363290723089239407e+02,9.999999999999999799e-13,1.858561595661181491e+04
1.394781256396518074e+02,9.999999999999999799e-13,1.945414753195049343e+04
1.426268484424364260e+02,9.999999999999999799e-13,2.034241789662173323e+04
1.457752622587988469e+02,9.999999999999999799e-13,2.125042708662158111e+04
1.489233867938824289e+02,9.999999999999999799e-13,2.217817513416031215e+04
1.520712401084801684e+02,9.999999999999999799e-13,2.312566206813102326e+04
1.552188387874097089e+02,9.999999999999999799e-13,2.409288791451188808e+04
1.583661980875732525e+02,9.999999999999999799e-13,2.507985269671249262e+04
1.615133320685109766e+02,9.999999999999999799e-13,2.608655643587309532e+04
1.646602537078208002e+02,9.999999999999999799e-13,2.711299915112390954e+04
1.678069750034557899e+02,9.999999999999999799e-13,2.815918085981043987e+04
1.709535070646105055e+02,9.999999999999999799e-13,2.922510157768983117e+04
1.740998601926563083e+02,9.999999999999999799e-13,3.031076131910247204e+04
1.772460439533765282e+02,9.999999999999999799e-13,3.141616009712228697e+04
1.803920672415747219e+02,9.999999999999999799e-13,3.254129792368881317e+04
1.835379383389803820e+02,9.999999999999999799e-13,3.368617480972336489e+04
1.866836649662514276e+02,9.999999999999999799e-13,3.485079076523161348e+04
1.898292543297641259e+02,9.999999999999999799e-13,3.603514579939427495e+04
1.929747131637910513e+02,9.999999999999999799e-13,3.723923992064742924e+04
1.961200477685898989e+02,9.999999999999999799e-13,3.846307313675398473e+04
1.992652640448583838e+02,9.999999999999999799e-13,3.970664545486713178e+04
2.024103675249539833e+02,9.999999999999999799e-13,4.096995688158694247e+04
2.055553634012282487e+02,9.999999999999999799e-13,4.225300742301101127e+04
2.087002565517820756e+02,9.999999999999999799e-13,4.355579708477966051e+04
2.118450515639120511e+02,9.999999999999999799e-13,4.487832587211655482e+04
2.149897527554861654e+02,9.999999999999999799e-13,4.622059378986506636e+04
2.181343641944595220e+02,9.999999999999999799e-13,4.758260084252110391e+04
2.212788897167160655e+02,9.999999999999999799e-13,4.896434703426259512e+04
2.244233329424017427e+02,9.999999999999999799e-13,5.036583236897610186e+04
2.275676972908960920e+02,9.999999999999999799e-13,5.178705685028091830e+04
2.307119859945529470e+02,9.999999999999999799e-13,5.322802048155078955e+04
2.338562021113268088e+02,9.999999999999999799e-13,5.468872326593373873e+04
2.370003485363889979e+02,9.999999999999999799e-13,5.616916520636985661e+04
2.401444280128264950e+02,9.999999999999999799e-13,5.766934630560760706e+04
2.432884431415078836e+02,9.999999999999999799e-13,5.918926656621871371e+04
2.464323963901895524e+02,9.999999999999999799e-13,6.072892599061150395e+04
2.495762901019311357e+02,9.999999999999999799e-13,6.228832458104329271e+04
2.527201265028799071e+02,9.999999999999999799e-13,6.386746233963161649e+04
2.558639077094783261e+02,9.999999999999999799e-13,6.546633926836444880e+04
2.590076357351451293e+02,9.999999999999999799e-13,6.708495536910963710e+04
2.621513124964731674e+02,9.999999999999999799e-13,6.872331064362352481e+04
2.652949398189849717e+02,9.999999999999999799e-13,7.038140509355886024e+04
2.684385194424822316e+02,9.999999999999999799e-13,7.205923872047191253e+04
2.715820530260226633e+02,9.999999999999999799e-13,7.375681152582938375e+04
