x,y,v0_first,sigma_v0
5.763459196894549663e+00,9.999999999999999799e-13,3.321746191426836958e+01,1.005628378123726514e-12
9.095011330476355127e+00,9.999999999999999799e-13,8.271923110149329261e+01,1.005551154378414757e-12
1.232294097056658089e+01,9.999999999999999799e-13,1.518548741640684341e+02,1.006017061022731671e-12
1.551460301088674676e+01,9.999999999999999799e-13,2.407029065854161161e+02,1.004734681096597757e-12
1.868903635536282337e+01,9.999999999999999799e-13,3.492800798920733314e+02,1.004562753018423137e-12
2.185387422270976288e+01,9.999999999999999799e-13,4.775918185420183022e+02,1.004001563885536065e-12
2.501280320228961074e+01,9.999999999999999799e-13,6.256403240364694511e+02,1.004579981057093985e-12
2.816782970799362573e+01,9.999999999999999799e-13,7.934266304585282796e+02,1.003438455776891394e-12
3.132014170744717774e+01,9.999999999999999799e-13,9.809512765745721481e+02,1.004779074359207208e-12
3.447048833128498302e+01,9.999999999999999799e-13,1.188214565797254409e+03,1.005259779105277762e-12
3.761936575358842560e+01,9.999999999999999799e-13,1.415216679702261445e+03,1.003444155802188519e-12
4.076711582140680434e+01,9.999999999999999799e-13,1.661957732395997255e+03,1.004976454570037978e-12
4.391398181136465695e+01,9.999999999999999799e-13,1.928437798528865642e+03,1.005360593484828442e-12
4.706014161276053187e+01,9.999999999999999799e-13,2.214656928613075252e+03,1.004308484646719362e-12
5.020572833673804070e+01,9.999999999999999799e-13,2.520615157822340734e+03,1.004596471712513600e-12
5.335084358529321946e+01,9.999999999999999799e-13,2.846312511262422504e+03,1.003256277076294806e-12
5.649556626181198027e+01,9.999999999999999799e-13,3.191749007242788139e+03,1.005172323573330312e-12
5.963995857955815438e+01,9.999999999999999799e-13,3.556924659371411963e+03,1.004550167740306400e-12
6.278407025618012938e+01,9.999999999999999799e-13,3.941839477932962836e+03,1.005748053309143428e-12
6.592794150295864597e+01,9.999999999999999799e-13,4.346493470817536945e+03,1.005029902765590483e-12
