x,y,v0_first,sigma_v0
6.987932000500519436e+00,9.999999999999999799e-13,4.883119364361919423e+01,1.015304171852085532e-12
1.041711854737936527e+01,9.999999999999999799e-13,1.085163588301551840e+02,1.084172945173470899e-12
1.369802315324924891e+01,9.999999999999999799e-13,1.876358383069525075e+02,1.015304171848085541e-12
1.692362128521383724e+01,9.999999999999999799e-13,2.864089574053428464e+02,1.351995952553969800e-12
2.012180617445381969e+01,9.999999999999999799e-13,4.048870837222878549e+02,1.313735522924755159e-12
2.330424698893964930e+01,9.999999999999999799e-13,5.430879277215027514e+02,1.443820983654483342e-12
2.647676366453912777e+01,9.999999999999999799e-13,7.010190141478593659e+02,1.068868773327385233e-12
2.964260454031580849e+01,9.999999999999999799e-13,8.786840039335513666e+02,1.175997976277984635e-12
3.280373238519610624e+01,9.999999999999999799e-13,1.076084858399563700e+03,1.535646014754996884e-12
3.596140580470903103e+01,9.999999999999999799e-13,1.293222707450960570e+03,1.711643991030981645e-12
3.911647019027153505e+01,9.999999999999999799e-13,1.530098240146401849e+03,1.114781288877642206e-12
4.226951497778116362e+01,9.999999999999999799e-13,1.786711896456866043e+03,1.925902396928179851e-12
4.542096397225621018e+01,9.999999999999999799e-13,2.063063968168996325e+03,2.507460927231432823e-12
4.857112985163177399e+01,9.999999999999999799e-13,2.359154655064075541e+03,4.213876088519984354e-12
5.172024843038786912e+01,9.999999999999999799e-13,2.674984097701038991e+03,3.089019457538688413e-12
5.486850095750078538e+01,9.999999999999999799e-13,3.010552397323264358e+03,3.678230073762981900e-12
5.801602906410053606e+01,9.999999999999999799e-13,3.365859628366558354e+03,2.193725404304677749e-12
6.116294504481405170e+01,9.999999999999999799e-13,3.740905846554943764e+03,1.459125155504568596e-12
6.430933909067049115e+01,9.999999999999999799e-13,4.135691094278839955e+03,2.209029576154763609e-12
6.745528447980282749e+01,9.999999999999999799e-13,4.550215404251127438e+03,6.976279107456427904e-12
7.060084136923654796e+01,9.999999999999999799e-13,4.984478802044101940e+03,9.937636360447986612e-12
7.374605960919264191e+01,9.999999999999999799e-13,5.438481307882593683e+03,6.149853827551806024e-12
7.689098086207911820e+01,9.999999999999999799e-13,5.912222937932617242e+03,1.703991905101938319e-12
8.003564021885212298e+01,9.999999999999999799e-13,6.405703705241538955e+03,1.696339819180895785e-12
8.318006744667572150e+01,9.999999999999999799e-13,6.918923620433521137e+03,1.168231195135774795e-11
8.632428796248733249e+01,9.999999999999999799e-13,7.451882692230435168e+03,7.825660645136184026e-12
8.946832360029232234e+01,9.999999999999999799e-13,8.004580927846623126e+03,6.065680882376338845e-12
9.261219322147185551e+01,9.999999999999999799e-13,8.577018333291236559e+03,6.012116280901038538e-12
9.575591320436612364e+01,9.999999999999999799e-13,9.169194913602097586e+03,6.976279107456430328e-12
9.889949784012185319e+01,9.999999999999999799e-13,9.781110673028268138e+03,2.270246263555106644e-12
1.020429596551069267e+02,9.999999999999999799e-13,1.041276561517377922e+04,2.660502645736289594e-12
1.051863096753171476e+02,9.999999999999999799e-13,1.106415974311171703e+04,3.257365347885629040e-12
1.083295576446031845e+02,9.999999999999999799e-13,1.173529305947540524e+04,5.728989101678456589e-12
1.114727122058660882e+02,9.999999999999999799e-13,1.242616556653184671e+04,1.416158779107565014e-11
