x,y,v0_first,sigma_v0
6.987932000500519436e+00,9.999999999999999799e-13,4.883119364361918713e+01,1.000117101981601959e-12
1.041711854737935816e+01,9.999999999999999799e-13,1.085163588301550135e+02,1.192918973488236699e-12
1.369802315324924891e+01,9.999999999999999799e-13,1.876358383069524791e+02,1.000117101981540769e-12
1.692362128521384079e+01,9.999999999999999799e-13,2.864089574053429601e+02,1.026011197357463565e-12
2.012180617445381969e+01,9.999999999999999799e-13,4.048870837222877981e+02,1.048060102448742931e-12
2.330424698893964930e+01,9.999999999999999799e-13,5.430879277215027514e+02,1.094064470464164647e-12
2.647676366453912777e+01,9.999999999999999799e-13,7.010190141478593659e+02,1.002368648721426490e-12
2.964260454031580849e+01,9.999999999999999799e-13,8.786840039335513666e+02,1.015369532561395176e-12
3.280373238519611334e+01,9.999999999999999799e-13,1.076084858399564155e+03,2.064278789517739358e-12
3.596140580470903103e+01,9.999999999999999799e-13,1.293222707450960570e+03,1.227370021619602697e-12
3.911647019027153505e+01,9.999999999999999799e-13,1.530098240146401622e+03,1.006565817160712434e-12
4.226951497778116362e+01,9.999999999999999799e-13,1.786711896456866270e+03,1.362826198984062656e-12
4.542096397225620308e+01,9.999999999999999799e-13,2.063063968168995871e+03,2.010943290479198202e-12
4.857112985163178109e+01,9.999999999999999799e-13,2.359154655064075996e+03,1.035243528489369684e-12
5.172024843038786912e+01,9.999999999999999799e-13,2.674984097701038536e+03,2.316031583112639166e-12
5.486850095750077827e+01,9.999999999999999799e-13,3.010552397323263904e+03,1.580820396665414778e-12
5.801602906410053606e+01,9.999999999999999799e-13,3.365859628366557899e+03,1.557234838064691511e-12
6.116294504481404459e+01,9.999999999999999799e-13,3.740905846554943309e+03,4.900963189898127835e-12
6.430933909067049115e+01,9.999999999999999799e-13,4.135691094278839955e+03,1.568997296370190649e-12
6.745528447980281328e+01,9.999999999999999799e-13,4.550215404251126529e+03,3.762415798952949728e-12
7.060084136923653375e+01,9.999999999999999799e-13,4.984478802044101030e+03,1.465491935319794401e-12
7.374605960919262770e+01,9.999999999999999799e-13,5.438481307882592773e+03,5.426441167289236315e-12
7.689098086207911820e+01,9.999999999999999799e-13,5.912222937932617242e+03,1.222949141399206685e-12
8.003564021885213720e+01,9.999999999999999799e-13,6.405703705241540774e+03,1.072901620029164143e-11
8.318006744667570729e+01,9.999999999999999799e-13,6.918923620433520227e+03,1.516564095683942913e-12
8.632428796248733249e+01,9.999999999999999799e-13,7.451882692230434259e+03,6.898524714934412199e-12
8.946832360029230813e+01,9.999999999999999799e-13,8.004580927846622217e+03,7.701976080586591277e-12
9.261219322147185551e+01,9.999999999999999799e-13,8.577018333291238378e+03,5.110901056885493992e-12
9.575591320436610943e+01,9.999999999999999799e-13,9.169194913602095767e+03,7.679214717319834255e-12
9.889949784012185319e+01,9.999999999999999799e-13,9.781110673028268138e+03,1.616640210459862808e-12
1.020429596551069267e+02,9.999999999999999799e-13,1.041276561517377922e+04,1.938367621607732501e-12
1.051863096753171476e+02,9.999999999999999799e-13,1.106415974311171703e+04,2.468946802552620065e-12
1.083295576446031845e+02,9.999999999999999799e-13,1.173529305947540524e+04,4.833563687776713284e-12
1.114727122058661024e+02,9.999999999999999799e-13,1.242616556653184853e+04,2.873173634204930517e-12
1.146157810523544072e+02,9.999999999999999799e-13,1.313677726624124261e+04,1.222309563928502971e-11
1.177587710546670365e+02,9.999999999999999799e-13,1.386712816030548674e+04,1.368036539152134053e-12
1.209016883678966821e+02,9.999999999999999799e-13,1.461721825020800316e+04,3.814080352490531006e-12
1.240445385224458335e+02,9.999999999999999799e-13,1.538704753724654802e+04,1.860308968598184274e-12
1.271873265013476697e+02,9.999999999999999799e-13,1.617661602256041442e+04,3.519619576371396044e-12
1.303300568063757225e+02,9.999999999999999799e-13,1.698592370715312063e+04,1.690245689416227065e-11
1.334727335147945269e+02,9.999999999999999799e-13,1.781497059191135486e+04,2.050903646441955460e-12
1.366153603282623124e+02,9.999999999999999799e-13,1.866375667762094963e+04,2.595480278371738346e-12
1.397579406151232888e+02,9.999999999999999799e-13,1.953228196498032776e+04,1.218560274984915028e-12
1.429004774471098074e+02,9.999999999999999799e-13,2.042054645461193650e+04,3.383699974043594830e-11
1.460429736312977411e+02,9.999999999999999799e-13,2.132855014707192458e+04,3.144302269627543854e-11
1.491854317380168311e+02,9.999999999999999799e-13,2.225629304285847684e+04,4.184590405931972962e-11
1.523278541253006892e+02,9.999999999999999799e-13,2.320377514241888275e+04,2.238174586642633926e-11
1.554702429603674716e+02,9.999999999999999799e-13,2.417099644615568832e+04,2.835331429056525683e-11
1.586126002385432230e+02,9.999999999999999799e-13,2.515795695443192017e+04,1.009441247303092019e-12
1.617549277999767696e+02,9.999999999999999799e-13,2.616465666757569852e+04,1.490922911548216924e-11
1.648972273444406085e+02,9.999999999999999799e-13,2.719109558588412983e+04,1.293248507818045447e-11
1.680395004444694109e+02,9.999999999999999799e-13,2.823727370962683563e+04,1.681079358750744720e-11
1.711817485570493886e+02,9.999999999999999799e-13,2.930319103904888470e+04,6.686601496202263014e-12
1.743239730340420977e+02,9.999999999999999799e-13,3.038884757437343796e+04,2.333734054919313854e-11
1.774661751314996536e+02,9.999999999999999799e-13,3.149424331580410217e+04,3.740290211508299839e-12
1.806083560180062761e+02,9.999999999999999799e-13,3.261937826352690172e+04,8.522081511287866209e-12
1.837505167821633165e+02,9.999999999999999799e-13,3.376425241771208675e+04,1.132341736687726120e-11
1.868926584393183816e+02,9.999999999999999799e-13,3.492886577851571928e+04,6.521109202535436260e-11
1.900347819376259224e+02,9.999999999999999799e-13,3.611321834608103381e+04,2.513404721906741292e-11
1.931768881635165087e+02,9.999999999999999799e-13,3.731731012053976883e+04,4.131041299694050770e-11
1.963189779466395635e+02,9.999999999999999799e-13,3.854114110201314907e+04,3.212774822467570611e-12
1.994610520643389577e+02,9.999999999999999799e-13,3.978471129061294050e+04,1.657400499891661869e-11
2.026031112457118866e+02,9.999999999999999799e-13,4.104802068644230894e+04,9.914100908216614486e-12
2.057451561752951363e+02,9.999999999999999799e-13,4.233106928959659126e+04,1.761290464674490137e-11
2.088871874964188180e+02,9.999999999999999799e-13,4.363385710016403027e+04,3.513730716806640553e-11
2.120292058142611893e+02,9.999999999999999799e-13,4.495638411822633498e+04,5.000107813282015558e-11
2.151712116986362844e+02,9.999999999999999799e-13,4.629865034385934996e+04,1.154447744683107859e-11
2.183132056865398454e+02,9.999999999999999799e-13,4.766065577713345556e+04,2.249641311728739670e-11
2.214551882844790782e+02,9.999999999999999799e-13,4.904240041811408446e+04,3.255968147784256064e-11
2.245971599706062989e+02,9.999999999999999799e-13,5.044388426686211460e+04,5.692499927537417025e-11
2.277391211966760523e+02,9.999999999999999799e-13,5.186510732343430573e+04,1.768930260452689176e-11
2.308810723898420463e+02,9.999999999999999799e-13,5.330606958788348129e+04,1.410003952741305013e-11
2.340230139543097323e+02,9.999999999999999799e-13,5.476677106025904504e+04,2.615100015623871455e-11
2.371649462728568380e+02,9.999999999999999799e-13,5.624721174060707563e+04,3.422708760239819687e-11
2.403068697082351264e+02,9.999999999999999799e-13,5.774739162897069764e+04,5.625172086840273565e-11
2.434487846044630999e+02,9.999999999999999799e-13,5.926731072539027082e+04,9.259615660098508485e-12
2.465906912880199684e+02,9.999999999999999799e-13,6.080696902990357194e+04,3.093059658687010272e-11
2.497325900689496336e+02,9.999999999999999799e-13,6.236636654254603491e+04,1.273265027876290401e-12
2.528744812418819947e+02,9.999999999999999799e-13,6.394550326335092541e+04,5.372695031635655832e-11
2.560163650869791923e+02,9.999999999999999799e-13,6.554437919234942819e+04,1.027959455547874115e-11
2.591582418708131286e+02,9.999999999999999799e-13,6.716299432957087993e+04,1.794142329735959989e-11
2.623001118471795508e+02,9.999999999999999799e-13,6.880134867504291469e+04,4.462286736744932914e-11
2.654419752578544376e+02,9.999999999999999799e-13,7.045944222879142035e+04,4.792014513804225360e-11
2.685838323332976074e+02,9.999999999999999799e-13,7.213727499084093142e+04,6.156915275243386022e-11
2.717256832933067017e+02,9.999999999999999799e-13,7.383484696121441084e+04,7.770267050549784385e-12
